,key_6hex_6h,DN_total_num_rentals,DN_total_length_rentals,DN_avg_length_rentals,C2G_total_num_rentals,C2G_total_length_rentals,C2G_avg_length_rentals,AVG_avg_length_rentals,hex_id_6hex,timestamp
66,861f18847ffffff_2017-03-24 00:00:00,1.0,35.0,35.0,0.0,0.0,0.0,35.0,861f18847ffffff,2017-03-24 00:00:00
67,861f18847ffffff_2017-03-24 06:00:00,2.0,320.0,160.0,3.0,290.0,96.66666666666669,122.0,861f18847ffffff,2017-03-24 06:00:00
68,861f18847ffffff_2017-03-24 12:00:00,14.0,660.0,47.14285714285714,6.0,310.0,51.66666666666666,48.5,861f18847ffffff,2017-03-24 12:00:00
69,861f18847ffffff_2017-03-24 18:00:00,3.0,155.0,51.66666666666666,2.0,115.0,57.5,54.0,861f18847ffffff,2017-03-24 18:00:00
70,861f1884fffffff_2017-03-03 12:00:00,1.0,90.0,90.0,0.0,0.0,0.0,90.0,861f1884fffffff,2017-03-03 12:00:00
71,861f1886fffffff_2017-02-25 00:00:00,10.0,860.0,86.0,1.0,45.0,45.0,82.27272727272727,861f1886fffffff,2017-02-25 00:00:00
72,861f1886fffffff_2017-02-25 06:00:00,51.0,4085.0,80.09803921568627,1.0,50.0,50.0,79.51923076923077,861f1886fffffff,2017-02-25 06:00:00
73,861f1886fffffff_2017-02-25 12:00:00,60.0,4910.0,81.83333333333333,4.0,130.0,32.5,78.75,861f1886fffffff,2017-02-25 12:00:00
74,861f1886fffffff_2017-02-25 18:00:00,49.0,4045.0,82.55102040816327,0.0,0.0,0.0,82.55102040816327,861f1886fffffff,2017-02-25 18:00:00
75,861f1886fffffff_2017-02-26 00:00:00,3.0,100.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,861f1886fffffff,2017-02-26 00:00:00
76,861f1886fffffff_2017-02-26 06:00:00,28.0,2410.0,86.07142857142857,0.0,0.0,0.0,86.07142857142857,861f1886fffffff,2017-02-26 06:00:00
77,861f1886fffffff_2017-02-26 12:00:00,61.0,3370.0,55.245901639344254,2.0,60.0,30.0,54.44444444444444,861f1886fffffff,2017-02-26 12:00:00
78,861f1886fffffff_2017-02-26 18:00:00,22.0,625.0,28.40909090909091,1.0,25.0,25.0,28.26086956521739,861f1886fffffff,2017-02-26 18:00:00
79,861f1886fffffff_2017-02-27 00:00:00,10.0,945.0,94.5,0.0,0.0,0.0,94.5,861f1886fffffff,2017-02-27 00:00:00
80,861f1886fffffff_2017-02-27 06:00:00,48.0,4260.0,88.75,2.0,75.0,37.5,86.7,861f1886fffffff,2017-02-27 06:00:00
81,861f1886fffffff_2017-02-27 12:00:00,55.0,4020.0,73.0909090909091,5.0,190.0,38.0,70.16666666666667,861f1886fffffff,2017-02-27 12:00:00
82,861f1886fffffff_2017-02-27 18:00:00,34.0,1370.0,40.29411764705883,0.0,0.0,0.0,40.294117647058826,861f1886fffffff,2017-02-27 18:00:00
83,861f1886fffffff_2017-02-28 00:00:00,7.0,290.0,41.42857142857143,0.0,0.0,0.0,41.42857142857143,861f1886fffffff,2017-02-28 00:00:00
84,861f1886fffffff_2017-02-28 06:00:00,45.0,2680.0,59.555555555555564,1.0,55.0,55.0,59.45652173913044,861f1886fffffff,2017-02-28 06:00:00
85,861f1886fffffff_2017-02-28 12:00:00,65.0,3160.0,48.615384615384606,0.0,0.0,0.0,48.61538461538461,861f1886fffffff,2017-02-28 12:00:00
86,861f1886fffffff_2017-02-28 18:00:00,33.0,2725.0,82.57575757575758,1.0,40.0,40.0,81.32352941176471,861f1886fffffff,2017-02-28 18:00:00
87,861f1886fffffff_2017-03-01 00:00:00,7.0,240.0,34.285714285714285,0.0,0.0,0.0,34.285714285714285,861f1886fffffff,2017-03-01 00:00:00
88,861f1886fffffff_2017-03-01 06:00:00,43.0,2815.0,65.46511627906976,1.0,30.0,30.0,64.6590909090909,861f1886fffffff,2017-03-01 06:00:00
89,861f1886fffffff_2017-03-01 12:00:00,44.0,2450.0,55.68181818181818,2.0,145.0,72.5,56.41304347826087,861f1886fffffff,2017-03-01 12:00:00
90,861f1886fffffff_2017-03-01 18:00:00,28.0,2085.0,74.46428571428571,1.0,40.0,40.0,73.27586206896552,861f1886fffffff,2017-03-01 18:00:00
91,861f1886fffffff_2017-03-02 00:00:00,8.0,630.0,78.75,0.0,0.0,0.0,78.75,861f1886fffffff,2017-03-02 00:00:00
