,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
408,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.44185323329728 52.56223431616588)",6.210960343055839,1,6.11364280894217
409,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.30559444899624 52.48489011930791)",10.393910436829579,2,12.22728561788434
410,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.48501065303956 52.46130395682968)",15.427298527659245,3,18.34092842682651
411,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.62151327599771 52.53848853710102)",18.6420739838052,3,18.34092842682651
412,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.33032663790643 52.62435681728144)",5.78825965186814,1,6.11364280894217
413,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.19412345893519 52.54695973334255)",11.088610815418265,2,12.22728561788434
414,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.37367627480208 52.52358882193953)",5.793243319787164,1,6.11364280894217
415,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.57471271892214 52.4494003353978)",20.47110069952473,4,24.45457123576868
416,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.50654288019152 52.41076791856435)",20.94944198588922,4,24.45457123576868
417,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.4169015215838 52.42263168480854)",17.394668310519595,3,18.34092842682651
418,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b37ffffff,POINT (13.32725633154396 52.43442182525305),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.32725633154396 52.43442182525305)",15.61021772361195,3,18.34092842682651
419,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b5fffffff,POINT (13.6858123489642 52.38681944391617),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.6858123489642 52.38681944391617)",30.727382679850137,6,36.68185685365302
420,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.35201703555793 52.57399647913816)",0.0,0,0.0
421,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.35201703555793 52.57399647913816, 13.66441017478797 52.43742299906616)",26.032081431866807,5,30.56821404471085
422,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.26217730882076 52.58568484738209)",6.20788331244595,1,6.11364280894217
423,861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),861f1d487ffffff,POINT (13.28390146169232 52.5353111379206),True,"LINESTRING (13.35201703555793 52.57399647913816, 13.28390146169232 52.5353111379206)",6.3016446740849625,1,6.11364280894217
