,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
515,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b24ffffff,POINT (13.37630997814494 52.48923699051952),False,2,4.785524
516,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b26ffffff,POINT (13.35994888786519 52.47097165727213),False,2,6.703745
517,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b04ffffff,POINT (13.3979252074993 52.43875313355331),False,2,5.3365089999999995
518,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d49cffffff,POINT (13.28658099723958 52.50097301352019),False,5,12.080567999999996
519,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4b2ffffff,POINT (13.17780856172941 52.52868988040235),False,9,20.8923
520,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4f3ffffff,POINT (13.46085695314495 52.54613955322785),False,4,10.717214999999998
521,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f18b2cffffff,POINT (13.46603531957765 52.47742727161366),True,1,2.919695000000001
522,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d49bffffff,POINT (13.32460000781337 52.4687990918736),False,3,9.002338000000002
523,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d49dffffff,POINT (13.32194097457933 52.50315766553212),False,4,9.459524999999998
524,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4a8ffffff,POINT (13.35201703555793 52.57399647913816),False,6,13.762484
525,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4aeffffff,POINT (13.31661476304758 52.57181869534616),False,6,14.852571999999997
526,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4f6ffffff,POINT (13.4064432414357 52.56008331433108),False,5,11.164545999999996
527,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d489ffffff,POINT (13.40906181434824 52.52574846527658),False,3,6.967492
528,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d499ffffff,POINT (13.34094888080296 52.4870687271131),False,3,7.030653
529,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4aaffffff,POINT (13.33564318130369 52.5557502080193),False,5,12.886063999999998
530,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d486ffffff,POINT (13.24853041200324 52.53311439211661),False,7,16.432551
531,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4b3ffffff,POINT (13.2131661036788 52.53090730448986),False,8,17.868027
532,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d48bffffff,POINT (13.3926809515452 52.50749592826664),False,2,5.444496
533,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d3ffffff,POINT (13.48243301263263 52.49567966154245),False,2,6.293639999999999
534,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d49affffff,POINT (13.28925780142406 52.46661618831142),False,4,11.513594999999999
535,871f18b21ffffff,POINT (13.43066656881884 52.47528575241083),871f1d4d5ffffff,POINT (13.4798527405517 52.53003666028679),False,3,8.457154999999997
