,key_6hex_6h,y_true,hex_id_6hex,timestamp
2952,861f18847ffffff_2017-01-11 00:00:00,0.0,861f18847ffffff,2017-01-11 00:00:00
2970,861f18847ffffff_2017-01-11 06:00:00,0.0,861f18847ffffff,2017-01-11 06:00:00
2988,861f18847ffffff_2017-01-11 12:00:00,11.0,861f18847ffffff,2017-01-11 12:00:00
3006,861f18847ffffff_2017-01-11 18:00:00,0.0,861f18847ffffff,2017-01-11 18:00:00
3024,861f18847ffffff_2017-01-12 00:00:00,0.0,861f18847ffffff,2017-01-12 00:00:00
3042,861f18847ffffff_2017-01-12 06:00:00,1.0,861f18847ffffff,2017-01-12 06:00:00
3060,861f18847ffffff_2017-01-12 12:00:00,7.0,861f18847ffffff,2017-01-12 12:00:00
3078,861f18847ffffff_2017-01-12 18:00:00,0.0,861f18847ffffff,2017-01-12 18:00:00
3096,861f18847ffffff_2017-01-13 00:00:00,0.0,861f18847ffffff,2017-01-13 00:00:00
3114,861f18847ffffff_2017-01-13 06:00:00,0.0,861f18847ffffff,2017-01-13 06:00:00
3132,861f18847ffffff_2017-01-13 12:00:00,8.0,861f18847ffffff,2017-01-13 12:00:00
3150,861f18847ffffff_2017-01-13 18:00:00,1.0,861f18847ffffff,2017-01-13 18:00:00
3168,861f18847ffffff_2017-01-14 00:00:00,0.0,861f18847ffffff,2017-01-14 00:00:00
3186,861f18847ffffff_2017-01-14 06:00:00,0.0,861f18847ffffff,2017-01-14 06:00:00
3204,861f18847ffffff_2017-01-14 12:00:00,0.0,861f18847ffffff,2017-01-14 12:00:00
3222,861f18847ffffff_2017-01-14 18:00:00,0.0,861f18847ffffff,2017-01-14 18:00:00
3240,861f18847ffffff_2017-01-15 00:00:00,0.0,861f18847ffffff,2017-01-15 00:00:00
3258,861f18847ffffff_2017-01-15 06:00:00,0.0,861f18847ffffff,2017-01-15 06:00:00
3276,861f18847ffffff_2017-01-15 12:00:00,4.0,861f18847ffffff,2017-01-15 12:00:00
3294,861f18847ffffff_2017-01-15 18:00:00,4.0,861f18847ffffff,2017-01-15 18:00:00
3312,861f18847ffffff_2017-01-16 00:00:00,0.0,861f18847ffffff,2017-01-16 00:00:00
3330,861f18847ffffff_2017-01-16 06:00:00,7.0,861f18847ffffff,2017-01-16 06:00:00
3348,861f18847ffffff_2017-01-16 12:00:00,5.0,861f18847ffffff,2017-01-16 12:00:00
3366,861f18847ffffff_2017-01-16 18:00:00,0.0,861f18847ffffff,2017-01-16 18:00:00
3384,861f18847ffffff_2017-01-17 00:00:00,0.0,861f18847ffffff,2017-01-17 00:00:00
3402,861f18847ffffff_2017-01-17 06:00:00,0.0,861f18847ffffff,2017-01-17 06:00:00
3420,861f18847ffffff_2017-01-17 12:00:00,11.0,861f18847ffffff,2017-01-17 12:00:00
3438,861f18847ffffff_2017-01-17 18:00:00,1.0,861f18847ffffff,2017-01-17 18:00:00
3456,861f18847ffffff_2017-01-18 00:00:00,1.0,861f18847ffffff,2017-01-18 00:00:00
