Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d4afffffff,2017-03-16T12:00:00.0,131,75,74,1,0,0,9,0
861f18b37ffffff,2017-03-16T12:00:00.0,143,74,73,1,0,0,1,-5
861f18b2fffffff,2017-03-16T12:00:00.0,55,35,35,0,0,0,-1,-7
861f1886fffffff,2017-03-16T12:00:00.0,55,2,1,1,0,0,18,18
861f1d4b7ffffff,2017-03-16T12:00:00.0,51,50,50,0,0,0,2,-42
861f18b0fffffff,2017-03-16T12:00:00.0,63,30,30,0,0,0,1,0
861f1d4dfffffff,2017-03-16T12:00:00.0,27,3,2,1,0,0,6,7
861f1d48fffffff,2017-03-16T18:00:00.0,1016,491,485,6,0,0,51,0
861f1d4d7ffffff,2017-03-16T18:00:00.0,846,348,344,4,0,0,35,0
861f1d49fffffff,2017-03-16T18:00:00.0,598,304,301,3,0,0,23,-13
861f18b27ffffff,2017-03-16T18:00:00.0,676,325,321,4,0,0,26,0
861f1d4f7ffffff,2017-03-16T18:00:00.0,357,146,144,2,0,0,15,0
861f1d487ffffff,2017-03-16T18:00:00.0,229,116,115,1,0,0,33,42
861f1d4afffffff,2017-03-16T18:00:00.0,130,72,71,1,0,0,10,0
861f18b37ffffff,2017-03-16T18:00:00.0,92,44,43,1,0,0,2,-5
861f18b2fffffff,2017-03-16T18:00:00.0,46,24,25,-1,0,0,-2,-11
861f1886fffffff,2017-03-16T18:00:00.0,31,0,0,0,0,0,18,18
861f1d4b7ffffff,2017-03-16T18:00:00.0,41,37,39,-2,0,0,0,-42
861f18b0fffffff,2017-03-16T18:00:00.0,77,41,39,2,0,0,3,4
861f1d4dfffffff,2017-03-16T18:00:00.0,10,0,0,0,0,0,6,7
861f1d48fffffff,2017-03-17T00:00:00.0,200,114,111,3,0,0,54,0
861f1d4d7ffffff,2017-03-17T00:00:00.0,238,107,104,3,0,0,38,0
861f1d49fffffff,2017-03-17T00:00:00.0,143,78,76,2,0,0,25,-13
861f18b27ffffff,2017-03-17T00:00:00.0,164,83,81,2,0,0,28,0
861f1d4f7ffffff,2017-03-17T00:00:00.0,110,47,46,1,0,0,16,0
861f1d487ffffff,2017-03-17T00:00:00.0,45,22,21,1,0,0,34,42
861f1d4afffffff,2017-03-17T00:00:00.0,41,23,23,0,0,0,10,0
861f18b37ffffff,2017-03-17T00:00:00.0,39,19,18,1,0,0,3,-5
861f18b2fffffff,2017-03-17T00:00:00.0,22,13,13,0,0,0,-2,-11
861f1886fffffff,2017-03-17T00:00:00.0,12,0,0,0,0,0,18,18
861f1d4b7ffffff,2017-03-17T00:00:00.0,19,18,18,0,0,0,0,-42
861f18b0fffffff,2017-03-17T00:00:00.0,3,1,1,0,0,0,3,4
861f1d4dfffffff,2017-03-17T00:00:00.0,3,0,0,0,0,0,6,7
861f1d48fffffff,2017-03-17T06:00:00.0,1081,526,520,6,0,0,60,0
861f1d4d7ffffff,2017-03-17T06:00:00.0,834,363,359,4,0,0,42,0
861f1d49fffffff,2017-03-17T06:00:00.0,718,384,380,4,0,0,29,-13
861f18b27ffffff,2017-03-17T06:00:00.0,492,241,238,3,0,0,31,0
861f1d4f7ffffff,2017-03-17T06:00:00.0,277,123,120,3,0,0,19,0
861f1d487ffffff,2017-03-17T06:00:00.0,274,126,122,4,0,0,38,43
861f1d4afffffff,2017-03-17T06:00:00.0,164,97,96,1,0,0,11,0
861f18b37ffffff,2017-03-17T06:00:00.0,139,69,69,0,0,0,3,-6
861f18b2fffffff,2017-03-17T06:00:00.0,67,45,44,1,0,0,-1,-11
861f1886fffffff,2017-03-17T06:00:00.0,79,5,4,1,0,0,19,19
861f1d4b7ffffff,2017-03-17T06:00:00.0,40,39,38,1,0,0,1,-43
861f18b0fffffff,2017-03-17T06:00:00.0,35,16,16,0,0,0,3,4
861f1d4dfffffff,2017-03-17T06:00:00.0,37,4,4,0,0,0,6,7
861f1d48fffffff,2017-03-17T12:00:00.0,1724,797,788,9,0,0,69,0
861f1d4d7ffffff,2017-03-17T12:00:00.0,949,408,402,6,0,0,48,0
861f1d49fffffff,2017-03-17T12:00:00.0,929,449,445,4,0,0,33,-13
861f18b27ffffff,2017-03-17T12:00:00.0,649,292,288,4,0,0,35,0
861f1d4f7ffffff,2017-03-17T12:00:00.0,370,151,150,1,0,0,20,0
861f1d487ffffff,2017-03-17T12:00:00.0,303,128,125,3,0,0,41,43
861f1d4afffffff,2017-03-17T12:00:00.0,184,106,104,2,0,0,13,0
861f18b37ffffff,2017-03-17T12:00:00.0,171,89,88,1,0,0,4,-6
861f18b2fffffff,2017-03-17T12:00:00.0,67,42,42,0,0,0,-1,-11
861f1886fffffff,2017-03-17T12:00:00.0,54,2,1,1,0,0,20,19
